timestamp,sản lượng
2025-04-01 00:00:00,970
2025-04-01 00:10:00,999
2025-04-01 00:20:00,968
2025-04-01 00:30:00,873
2025-04-01 00:40:00,907
2025-04-01 00:50:00,632
2025-04-01 01:00:00,845
2025-04-01 01:10:00,987
2025-04-01 01:20:00,900
2025-04-01 01:30:00,783
2025-04-01 01:40:00,782
2025-04-01 01:50:00,865
2025-04-01 02:00:00,836
2025-04-01 02:10:00,821
2025-04-01 02:20:00,1004
2025-04-01 02:30:00,1053
2025-04-01 02:40:00,942
2025-04-01 02:50:00,799
2025-04-01 03:00:00,1064
2025-04-01 03:10:00,1045
2025-04-01 03:20:00,895
2025-04-01 03:30:00,973
2025-04-01 03:40:00,821
2025-04-01 03:50:00,799
2025-04-01 04:00:00,1082
2025-04-01 04:10:00,962
2025-04-01 04:20:00,904
2025-04-01 04:30:00,929
2025-04-01 04:40:00,914
2025-04-01 04:50:00,971
2025-04-01 05:00:00,1016
2025-04-01 05:10:00,1065
2025-04-01 05:20:00,811
2025-04-01 05:30:00,899
2025-04-01 05:40:00,905
2025-04-01 05:50:00,751
2025-04-01 06:00:00,1819
2025-04-01 06:10:00,1670
2025-04-01 06:20:00,1501
2025-04-01 06:30:00,1657
2025-04-01 06:40:00,1608
2025-04-01 06:50:00,1530
2025-04-01 07:00:00,1779
2025-04-01 07:10:00,1683
2025-04-01 07:20:00,1683
2025-04-01 07:30:00,1777
2025-04-01 07:40:00,1805
2025-04-01 07:50:00,1656
2025-04-01 08:00:00,1566
2025-04-01 08:10:00,1603
2025-04-01 08:20:00,1698
2025-04-01 08:30:00,1614
2025-04-01 08:40:00,1678
2025-04-01 08:50:00,1770
2025-04-01 09:00:00,1792
2025-04-01 09:10:00,1566
2025-04-01 09:20:00,1624
2025-04-01 09:30:00,1775
2025-04-01 09:40:00,1591
2025-04-01 09:50:00,1645
2025-04-01 10:00:00,1690
2025-04-01 10:10:00,1780
2025-04-01 10:20:00,1604
2025-04-01 10:30:00,1726
2025-04-01 10:40:00,1646
2025-04-01 10:50:00,1700
2025-04-01 11:00:00,1644
2025-04-01 11:10:00,1673
2025-04-01 11:20:00,1534
2025-04-01 11:30:00,1562
2025-04-01 11:40:00,1548
2025-04-01 11:50:00,1642
2025-04-01 12:00:00,1811
2025-04-01 12:10:00,1826
2025-04-01 12:20:00,1855
2025-04-01 12:30:00,1644
2025-04-01 12:40:00,1847
2025-04-01 12:50:00,1752
2025-04-01 13:00:00,1650
2025-04-01 13:10:00,1729
2025-04-01 13:20:00,1874
2025-04-01 13:30:00,1670
2025-04-01 13:40:00,1939
2025-04-01 13:50:00,1679
2025-04-01 14:00:00,1778
2025-04-01 14:10:00,1825
2025-04-01 14:20:00,1709
2025-04-01 14:30:00,1707
2025-04-01 14:40:00,1857
2025-04-01 14:50:00,1749
2025-04-01 15:00:00,1714
2025-04-01 15:10:00,1793
2025-04-01 15:20:00,1813
2025-04-01 15:30:00,1861
2025-04-01 15:40:00,1740
2025-04-01 15:50:00,1901
2025-04-01 16:00:00,1770
2025-04-01 16:10:00,1643
2025-04-01 16:20:00,1703
2025-04-01 16:30:00,1826
2025-04-01 16:40:00,1805
2025-04-01 16:50:00,1574
2025-04-01 17:00:00,1666
2025-04-01 17:10:00,1816
2025-04-01 17:20:00,1841
2025-04-01 17:30:00,1657
2025-04-01 17:40:00,1837
2025-04-01 17:50:00,1784
2025-04-01 18:00:00,1351
2025-04-01 18:10:00,1351
2025-04-01 18:20:00,1381
2025-04-01 18:30:00,1356
2025-04-01 18:40:00,1429
2025-04-01 18:50:00,1355
2025-04-01 19:00:00,1458
2025-04-01 19:10:00,1350
